,id,name,supertype,subtypes,level,hp,types,evolvesFrom,abilities,attacks,weaknesses,resistances,retreatCost,convertedRetreatCost,set,number,artist,rarity,flavorText,nationalPokedexNumbers,legalities,images,tcgplayer,cardmarket,evolvesTo,rules,regulationMark,url,holofoil_price,reverse_holofoil_price
44,ex12-3,Cradily,Pokémon,['Stage 2'],,100,['Grass'],Lileep,,"[{'name': 'Devolution Wave', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': ""Count the number of React Energy cards attached to Cradily and choose up to that number of your opponent's Evolved Pokémon. Remove the highest Stage Evolution card from each of those Pokémon, then have your opponent shuffle those cards into his or her deck.""}, {'name': 'Linear Attack', 'cost': ['Grass', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': ""Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {'name': 'Mud Shot', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'ex12', 'name': 'Legend Maker', 'series': 'EX', 'printedTotal': 92, 'total': 93, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'LM', 'releaseDate': '2006/02/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex12/symbol.png', 'logo': 'https://images.pokemontcg.io/ex12/logo.png'}}",3,Hajime Kusajima,Rare Holo,,[346],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex12/3.png', 'large': 'https://images.pokemontcg.io/ex12/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex12-3', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 3.81, 'mid': 5.0, 'high': 10.0, 'market': 5.6, 'directLow': None}, 'reverseHolofoil': {'low': 7.11, 'mid': 8.09, 'high': 9.95, 'market': 8.99, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex12-3', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 3.95, 'lowPrice': 0.5, 'trendPrice': 3.34, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 2.05, 'reverseHoloLow': 0.99, 'reverseHoloTrend': 5.65, 'lowPriceExPlus': 3.0, 'avg1': 1.75, 'avg7': 3.9, 'avg30': 3.75, 'reverseHoloAvg1': 9.9, 'reverseHoloAvg7': 5.21, 'reverseHoloAvg30': 5.76}}",,,,,,
45,xy11-2,Tangrowth,Pokémon,['Stage 1'],,130,['Grass'],Tangela,,"[{'name': 'Leaf Storm', 'cost': ['Grass', 'Grass', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '80', 'text': 'Heal 40 damage from each of your Grass Pokémon.'}, {'name': 'Flog', 'cost': ['Grass', 'Grass', 'Grass', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '110+', 'text': 'Flip a coin. If heads, this attack does 30 more damage.'}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'xy11', 'name': 'Steam Siege', 'series': 'XY', 'printedTotal': 114, 'total': 116, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'STS', 'releaseDate': '2016/08/03', 'updatedAt': '2019/04/10 19:59:00', 'images': {'symbol': 'https://images.pokemontcg.io/xy11/symbol.png', 'logo': 'https://images.pokemontcg.io/xy11/logo.png'}}",2,kirisAki,Uncommon,"Its vines grow so profusely that, in the warm season, you can't even see its eyes.",[465],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/xy11/2.png', 'large': 'https://images.pokemontcg.io/xy11/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/xy11-2', 'updatedAt': '2024/12/09', 'prices': {'normal': {'low': 0.02, 'mid': 0.17, 'high': 1.99, 'market': 0.11, 'directLow': 0.1}, 'reverseHolofoil': {'low': 0.17, 'mid': 0.45, 'high': 1.02, 'market': 0.45, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/xy11-2', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.07, 'lowPrice': 0.02, 'trendPrice': 0.08, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.5, 'reverseHoloLow': 0.05, 'reverseHoloTrend': 0.54, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.05, 'avg30': 0.08, 'reverseHoloAvg1': 0.5, 'reverseHoloAvg7': 0.55, 'reverseHoloAvg30': 0.5}}",,,,,,
46,ex3-3,Crawdaunt,Pokémon,['Stage 1'],,80,['Water'],Corphish,"[{'name': 'Power Pinchers', 'text': 'As long as Crawdaunt is your Active Pokémon, when any of your Active Pokémon does damage to the Defending Pokémon, the attack does 10 more damage (before applying Weakness and Resistance).', 'type': 'Poké-Body'}]","[{'name': 'Guillotine', 'cost': ['Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': ''}]","[{'type': 'Lightning', 'value': '×2'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'ex3', 'name': 'Dragon', 'series': 'EX', 'printedTotal': 97, 'total': 100, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DR', 'releaseDate': '2003/11/24', 'updatedAt': '2023/02/16 05:47:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex3/symbol.png', 'logo': 'https://images.pokemontcg.io/ex3/logo.png'}}",3,Hisao Nakamura,Rare Holo,,[342],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex3/3.png', 'large': 'https://images.pokemontcg.io/ex3/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex3-3', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 1.5, 'mid': 3.01, 'high': 100.0, 'market': 3.01, 'directLow': 2.0}, 'reverseHolofoil': {'low': 2.88, 'mid': 3.99, 'high': 9.99, 'market': 3.95, 'directLow': 3.5}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex3-3', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 4.09, 'lowPrice': 0.19, 'trendPrice': 3.63, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 2.45, 'reverseHoloLow': 0.4, 'reverseHoloTrend': 4.47, 'lowPriceExPlus': 1.3, 'avg1': 3.0, 'avg7': 4.71, 'avg30': 4.07, 'reverseHoloAvg1': 3.95, 'reverseHoloAvg7': 2.6, 'reverseHoloAvg30': 3.7}}",,,,,,
47,dv1-3,Dragonair,Pokémon,['Stage 1'],,70,['Dragon'],Dratini,,"[{'name': 'Tail Whap', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}, {'name': 'Dragon Pulse', 'cost': ['Grass', 'Lightning', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': 'Discard the top card of your deck.'}]","[{'type': 'Dragon', 'value': '×2'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'dv1', 'name': 'Dragon Vault', 'series': 'Black & White', 'printedTotal': 20, 'total': 21, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'DRV', 'releaseDate': '2012/10/05', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/dv1/symbol.png', 'logo': 'https://images.pokemontcg.io/dv1/logo.png'}}",3,Hajime Kusajima,Rare Holo,"If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.",[148],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/dv1/3.png', 'large': 'https://images.pokemontcg.io/dv1/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dv1-3', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 0.95, 'mid': 2.11, 'high': 19.95, 'market': 2.22, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/dv1-3', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 1.13, 'lowPrice': 0.25, 'trendPrice': 2.15, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.4, 'reverseHoloTrend': 2.46, 'lowPriceExPlus': 0.98, 'avg1': 1.0, 'avg7': 1.24, 'avg30': 3.49, 'reverseHoloAvg1': 1.99, 'reverseHoloAvg7': 2.54, 'reverseHoloAvg30': 2.34}}",['Dragonite'],,,,,
48,xy4-1,Venonat,Pokémon,['Basic'],,60,['Grass'],,,"[{'name': 'Stun Spore', 'cost': ['Grass', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'xy4', 'name': 'Phantom Forces', 'series': 'XY', 'printedTotal': 119, 'total': 124, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PHF', 'releaseDate': '2014/11/05', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/xy4/symbol.png', 'logo': 'https://images.pokemontcg.io/xy4/logo.png'}}",1,Sumiyoshi Kizuki,Common,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light.",[48],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/xy4/1.png', 'large': 'https://images.pokemontcg.io/xy4/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/xy4-1', 'updatedAt': '2024/12/09', 'prices': {'normal': {'low': 0.04, 'mid': 0.2, 'high': 1.33, 'market': 0.17, 'directLow': None}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.35, 'high': 42.97, 'market': 0.37, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/xy4-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.1, 'lowPrice': 0.02, 'trendPrice': 0.1, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.24, 'reverseHoloLow': 0.14, 'reverseHoloTrend': 0.31, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.08, 'avg30': 0.1, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.24, 'reverseHoloAvg30': 0.33}}",['Venomoth'],,,,,
49,bw4-1,Pinsir,Pokémon,['Basic'],,80,['Grass'],,,"[{'name': 'Power Pinch', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': 'Flip 2 coins. For each heads, discard an Energy attached to the Defending Pokémon.'}, {'name': 'Grip and Squeeze', 'cost': ['Grass', 'Grass', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': ""The Defending Pokémon can't retreat during your opponent's next turn.""}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'bw4', 'name': 'Next Destinies', 'series': 'Black & White', 'printedTotal': 99, 'total': 103, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'NXD', 'releaseDate': '2012/02/08', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/bw4/symbol.png', 'logo': 'https://images.pokemontcg.io/bw4/logo.png'}}",1,Masakazu Fukuda,Rare,"It grips prey with its pincers until the prey is torn in half. What it can't tear, it tosses far.",[127],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/bw4/1.png', 'large': 'https://images.pokemontcg.io/bw4/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/bw4-1', 'updatedAt': '2024/12/09', 'prices': {'normal': {'low': 0.25, 'mid': 0.49, 'high': 3.3, 'market': 0.39, 'directLow': 0.41}, 'reverseHolofoil': {'low': 0.4, 'mid': 0.62, 'high': 1.99, 'market': 0.61, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/bw4-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.51, 'lowPrice': 0.08, 'trendPrice': 0.34, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.12, 'reverseHoloTrend': 0.71, 'lowPriceExPlus': 0.1, 'avg1': 0.15, 'avg7': 0.31, 'avg30': 0.43, 'reverseHoloAvg1': 0.5, 'reverseHoloAvg7': 0.49, 'reverseHoloAvg30': 0.7}}",,,,,,
50,bw7-1,Oddish,Pokémon,['Basic'],,50,['Grass'],,,"[{'name': 'Absorb', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '10', 'text': 'Heal 10 damage from this Pokémon.'}, {'name': 'Acid', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]","[{'type': 'Water', 'value': '-20'}]",['Colorless'],1.0,"{'id': 'bw7', 'name': 'Boundaries Crossed', 'series': 'Black & White', 'printedTotal': 149, 'total': 153, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BCR', 'releaseDate': '2012/11/07', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/bw7/symbol.png', 'logo': 'https://images.pokemontcg.io/bw7/logo.png'}}",1,Kanako Eo,Common,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.,[43],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/bw7/1.png', 'large': 'https://images.pokemontcg.io/bw7/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/bw7-1', 'updatedAt': '2024/12/09', 'prices': {'normal': {'low': 0.15, 'mid': 0.25, 'high': 9.07, 'market': 0.25, 'directLow': None}, 'reverseHolofoil': {'low': 1.49, 'mid': 1.92, 'high': 2.25, 'market': 1.73, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/bw7-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.14, 'lowPrice': 0.02, 'trendPrice': 0.13, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.35, 'reverseHoloTrend': 0.75, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.1, 'avg30': 0.12, 'reverseHoloAvg1': 1.0, 'reverseHoloAvg7': 0.69, 'reverseHoloAvg30': 0.69}}",['Gloom'],,,,,
51,sm5-1,Exeggcute,Pokémon,['Basic'],,50,['Grass'],,,"[{'name': 'Continuous Eggsplosion', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '20×', 'text': 'Flip a coin until you get tails. This attack does 20 damage for each heads.'}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'sm5', 'name': 'Ultra Prism', 'series': 'Sun & Moon', 'printedTotal': 156, 'total': 178, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'UPR', 'releaseDate': '2018/02/02', 'updatedAt': '2019/02/19 23:25:00', 'images': {'symbol': 'https://images.pokemontcg.io/sm5/symbol.png', 'logo': 'https://images.pokemontcg.io/sm5/logo.png'}}",1,kawayoo,Common,Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species.,[102],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sm5/1.png', 'large': 'https://images.pokemontcg.io/sm5/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sm5-1', 'updatedAt': '2024/12/09', 'prices': {'normal': {'low': 0.03, 'mid': 0.15, 'high': 1.37, 'market': 0.12, 'directLow': None}, 'reverseHolofoil': {'low': 0.15, 'mid': 0.31, 'high': 2.95, 'market': 0.27, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sm5-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.32, 'reverseHoloLow': 0.08, 'reverseHoloTrend': 0.27, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.05, 'reverseHoloAvg1': 0.5, 'reverseHoloAvg7': 0.27, 'reverseHoloAvg30': 0.27}}",['Exeggutor'],,,,,
52,sm8-1,Tangela,Pokémon,['Basic'],,80,['Grass'],,,"[{'name': 'Gentle Slap', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}, {'name': 'Bind', 'cost': ['Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]","[{'type': 'Fire', 'value': '×2'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'sm8', 'name': 'Lost Thunder', 'series': 'Sun & Moon', 'printedTotal': 214, 'total': 240, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'LOT', 'releaseDate': '2018/11/02', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/sm8/symbol.png', 'logo': 'https://images.pokemontcg.io/sm8/logo.png'}}",1,Ken Sugimori,Common,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.,[114],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/sm8/1.png', 'large': 'https://images.pokemontcg.io/sm8/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sm8-1', 'updatedAt': '2024/12/09', 'prices': {'normal': {'low': 0.04, 'mid': 0.19, 'high': 1.34, 'market': 0.11, 'directLow': None}, 'reverseHolofoil': {'low': 0.16, 'mid': 0.38, 'high': 1.24, 'market': 0.37, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sm8-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.06, 'lowPrice': 0.02, 'trendPrice': 0.09, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.33, 'reverseHoloLow': 0.15, 'reverseHoloTrend': 0.35, 'lowPriceExPlus': 0.02, 'avg1': 0.15, 'avg7': 0.08, 'avg30': 0.09, 'reverseHoloAvg1': 0.39, 'reverseHoloAvg7': 0.3, 'reverseHoloAvg30': 0.36}}",['Tangrowth'],,,,,
53,hgss4-1,Aggron,Pokémon,['Stage 2'],,140,['Metal'],Lairon,,"[{'name': 'Second Strike', 'cost': ['Metal', 'Metal', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': 'If the Defending Pokémon already has any damage counters on it, this attack does 40 damage plus 40 more damage.'}, {'name': 'Guard Claw', 'cost': ['Metal', 'Metal', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '60', 'text': ""During your opponent's next turn, any damage done to Aggron by attacks is reduced by 20 (after applying Weakness and Resistance).""}]","[{'type': 'Fire', 'value': '×2'}]","[{'type': 'Psychic', 'value': '-20'}]","['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'hgss4', 'name': 'HS—Triumphant', 'series': 'HeartGold & SoulSilver', 'printedTotal': 102, 'total': 103, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'TM', 'releaseDate': '2010/11/03', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/hgss4/symbol.png', 'logo': 'https://images.pokemontcg.io/hgss4/logo.png'}}",1,Kagemaru Himeno,Rare Holo,You can tell its age by the length of its iron horns. It claims an entire mountain as its territory.,[306],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/hgss4/1.png', 'large': 'https://images.pokemontcg.io/hgss4/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/hgss4-1', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 1.69, 'mid': 2.73, 'high': 4.04, 'market': 2.64, 'directLow': None}, 'reverseHolofoil': {'low': 1.98, 'mid': 2.4, 'high': 500.0, 'market': 2.39, 'directLow': 3.41}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/hgss4-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 2.25, 'lowPrice': 0.15, 'trendPrice': 2.58, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 2.7, 'reverseHoloLow': 0.8, 'reverseHoloTrend': 3.85, 'lowPriceExPlus': 1.24, 'avg1': 1.99, 'avg7': 2.5, 'avg30': 2.25, 'reverseHoloAvg1': 2.7, 'reverseHoloAvg7': 4.23, 'reverseHoloAvg30': 3.16}}",,,,,,
54,xy5-1,Weedle,Pokémon,['Basic'],,50,['Grass'],,,"[{'name': 'Multiply', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for Weedle and put it onto your Bench. Shuffle your deck afterward.'}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'xy5', 'name': 'Primal Clash', 'series': 'XY', 'printedTotal': 160, 'total': 164, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PRC', 'releaseDate': '2015/02/04', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/xy5/symbol.png', 'logo': 'https://images.pokemontcg.io/xy5/logo.png'}}",1,Midori Harada,Common,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,[13],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/xy5/1.png', 'large': 'https://images.pokemontcg.io/xy5/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/xy5-1', 'updatedAt': '2024/12/09', 'prices': {'normal': {'low': 0.03, 'mid': 0.17, 'high': 1.33, 'market': 0.12, 'directLow': None}, 'reverseHolofoil': {'low': 0.2, 'mid': 0.55, 'high': 3.06, 'market': 0.69, 'directLow': 0.72}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/xy5-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.08, 'lowPrice': 0.02, 'trendPrice': 0.1, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.28, 'reverseHoloLow': 0.14, 'reverseHoloTrend': 0.39, 'lowPriceExPlus': 0.02, 'avg1': 0.07, 'avg7': 0.08, 'avg30': 0.1, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.31, 'reverseHoloAvg30': 0.49}}",['Kakuna'],,,,,
55,pl1-1,Ampharos,Pokémon,['Stage 2'],57,130,['Lightning'],Flaaffy,"[{'name': 'Damage Bind', 'text': ""Each Pokémon that has any damage counters on it (both yours and your opponent's) can't use any Poké-Powers."", 'type': 'Poké-Body'}]","[{'name': 'Gigavolt', 'cost': ['Lightning', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30+', 'text': 'Flip a coin. If heads, this attack does 30 damage plus 30 more damage. If tails, the Defending Pokémon is now Paralyzed.'}, {'name': 'Reflect Energy', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': 'Move an Energy card attached to Ampharos to 1 of your Benched Pokémon.'}]","[{'type': 'Fighting', 'value': '+30'}]","[{'type': 'Metal', 'value': '-20'}]","['Colorless', 'Colorless']",2.0,"{'id': 'pl1', 'name': 'Platinum', 'series': 'Platinum', 'printedTotal': 127, 'total': 133, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PL', 'releaseDate': '2009/02/11', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/pl1/symbol.png', 'logo': 'https://images.pokemontcg.io/pl1/logo.png'}}",1,Atsuko Nishida,Rare Holo,,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pl1/1.png', 'large': 'https://images.pokemontcg.io/pl1/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pl1-1', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 3.72, 'mid': 8.45, 'high': 14.51, 'market': 11.13, 'directLow': None}, 'reverseHolofoil': {'low': 3.72, 'mid': 5.24, 'high': 9.88, 'market': 6.52, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/pl1-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 3.83, 'lowPrice': 0.6, 'trendPrice': 4.14, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 1.78, 'reverseHoloLow': 0.9, 'reverseHoloTrend': 2.38, 'lowPriceExPlus': 1.4, 'avg1': 1.5, 'avg7': 3.52, 'avg30': 3.75, 'reverseHoloAvg1': 1.78, 'reverseHoloAvg7': 2.85, 'reverseHoloAvg30': 2.66}}",,,,https://prices.pokemontcg.io/tcgplayer/pl1-1,11.13,6.52
56,det1-1,Bulbasaur,Pokémon,['Basic'],,60,['Grass'],,,"[{'name': 'Find a Friend', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.'}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'det1', 'name': 'Detective Pikachu', 'series': 'Sun & Moon', 'printedTotal': 18, 'total': 18, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'DET', 'releaseDate': '2019/04/05', 'updatedAt': '2021/09/01 05:37:00', 'images': {'symbol': 'https://images.pokemontcg.io/det1/symbol.png', 'logo': 'https://images.pokemontcg.io/det1/logo.png'}}",1,MPC Film,Common,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,[1],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/det1/1.png', 'large': 'https://images.pokemontcg.io/det1/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/det1-1', 'updatedAt': '2024/12/09', 'prices': {'holofoil': {'low': 0.09, 'mid': 0.4, 'high': 11.5, 'market': 0.35, 'directLow': 0.41}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/det1-1', 'updatedAt': '2024/12/09', 'prices': {'averageSellPrice': 0.35, 'lowPrice': 0.02, 'trendPrice': 0.47, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.24, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.5, 'lowPriceExPlus': 0.02, 'avg1': 0.35, 'avg7': 0.34, 'avg30': 0.36, 'reverseHoloAvg1': 0.1, 'reverseHoloAvg7': 0.65, 'reverseHoloAvg30': 0.51}}",['Ivysaur'],,,,,
